[001] Training Loss = 0.9938134153693645 | Validation Loss = 0.9730519310318598 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:16.266086
[002] Training Loss = 0.9725289684292603 | Validation Loss = 0.9708855803591198 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.704035
[003] Training Loss = 0.9684241383101446 | Validation Loss = 0.9651586463072765 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.743508
[004] Training Loss = 0.9595754434077314 | Validation Loss = 0.9517260703173556 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.686235
[005] Training Loss = 0.9455475101671538 | Validation Loss = 0.9346208114474087 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.759509
[006] Training Loss = 0.8968002488499630 | Validation Loss = 0.7697838253437579 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.707076
[007] Training Loss = 0.6410154335063609 | Validation Loss = 0.2979754801787328 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.694510
[008] Training Loss = 0.2847113335414480 | Validation Loss = 0.0453589333152162 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.685442
[009] Training Loss = 0.1124818032950454 | Validation Loss = 0.0170153488416417 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.748531
[010] Training Loss = 0.0693553784708176 | Validation Loss = 0.0130633321570121 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.696469
[011] Training Loss = 0.0492500109713960 | Validation Loss = 0.0086819095649432 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.691454
[012] Training Loss = 0.0367736318646985 | Validation Loss = 0.0069109553659360 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.674121
[013] Training Loss = 0.0321767068161541 | Validation Loss = 0.0076892205134139 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.743012
[014] Training Loss = 0.0239529152418098 | Validation Loss = 0.0090041054486472 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.683629
[015] Training Loss = 0.0216131869524492 | Validation Loss = 0.0057025834243888 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.692688
[016] Training Loss = 0.0186749378396320 | Validation Loss = 0.0043264085836703 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.670087
[017] Training Loss = 0.0161585863187565 | Validation Loss = 0.0065423360280903 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.694211
[018] Training Loss = 0.0148740383888795 | Validation Loss = 0.0047806204035453 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.679305
[019] Training Loss = 0.0144603076357426 | Validation Loss = 0.0095484826754292 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.675293
[020] Training Loss = 0.0123946758634976 | Validation Loss = 0.0026928677044820 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.690126
[021] Training Loss = 0.0109052179268301 | Validation Loss = 0.0023225376604198 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.674299
[022] Training Loss = 0.0107126116330028 | Validation Loss = 0.0047513225335794 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.686599
[023] Training Loss = 0.0106951866970990 | Validation Loss = 0.0019418240126754 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.688112
[024] Training Loss = 0.0092462937338569 | Validation Loss = 0.0029935557844403 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.731148
[025] Training Loss = 0.0081109949970473 | Validation Loss = 0.0015477690817933 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.672575
[026] Training Loss = 0.0073449195826231 | Validation Loss = 0.0041352676387769 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.684446
[027] Training Loss = 0.0077644180883896 | Validation Loss = 0.0033078550508546 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.674375
[028] Training Loss = 0.0072551925762861 | Validation Loss = 0.0040308452349251 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:15.726000
[029] Training Loss = 0.0066366465156812 | Validation Loss = 0.0048504023745561 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:15.689059
[030] Training Loss = 0.0048574754639244 | Validation Loss = 0.0022242708556989 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:15.704633
[031] Training Loss = 0.0046126275857277 | Validation Loss = 0.0018066018521517 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:15.692413
[032] Training Loss = 0.0045798945412423 | Validation Loss = 0.0015981393605780 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:15.695119
[033] Training Loss = 0.0048182912008060 | Validation Loss = 0.0016618640759160 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:15.740054
[034] Training Loss = 0.0031082722379442 | Validation Loss = 0.0008926172263484 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:15.699715
[035] Training Loss = 0.0033696933525545 | Validation Loss = 0.0012817194777220 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:15.672629
[036] Training Loss = 0.0030184815207211 | Validation Loss = 0.0012945234023700 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:15.682568
[037] Training Loss = 0.0029121076007766 | Validation Loss = 0.0030472065462989 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:15.716071
[038] Training Loss = 0.0032335767659988 | Validation Loss = 0.0015019531159760 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:15.680182
[039] Training Loss = 0.0023155530645218 | Validation Loss = 0.0010896317943936 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:15.662180
[040] Training Loss = 0.0020042530103599 | Validation Loss = 0.0005731914711105 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:15.677783
[041] Training Loss = 0.0021444495352618 | Validation Loss = 0.0021785189384357 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:15.715645
[042] Training Loss = 0.0018375088272669 | Validation Loss = 0.0014758337824589 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:15.677846
[043] Training Loss = 0.0022151189457265 | Validation Loss = 0.0033454169953301 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:15.665885
[044] Training Loss = 0.0016277695908531 | Validation Loss = 0.0005819886123609 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:15.695056
[045] Training Loss = 0.0013711655798588 | Validation Loss = 0.0010605277677672 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:15.724333
[046] Training Loss = 0.0013161152311497 | Validation Loss = 0.0013017557027954 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:15.682015
[047] Training Loss = 0.0012120222266969 | Validation Loss = 0.0012117032142248 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:15.668012
[048] Training Loss = 0.0013138303429746 | Validation Loss = 0.0028609544577614 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:15.681670
[049] Training Loss = 0.0010215206837670 | Validation Loss = 0.0005658059374004 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:15.714148
[050] Training Loss = 0.0009385332050717 | Validation Loss = 0.0009424340864605 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:15.487115
[051] Training Loss = 0.0010973517765253 | Validation Loss = 0.0025457410455787 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:15.450598
[052] Training Loss = 0.0010701440286530 | Validation Loss = 0.0011953238106552 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:15.498984
[053] Training Loss = 0.0010423772097708 | Validation Loss = 0.0004264092693532 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:15.542239
[054] Training Loss = 0.0010995526648559 | Validation Loss = 0.0010317387814362 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:15.477895
[055] Training Loss = 0.0013686372279474 | Validation Loss = 0.0012393157323862 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:15.458681
[056] Training Loss = 0.0010803836092426 | Validation Loss = 0.0020010543998585 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:15.469484
[057] Training Loss = 0.0011369041263085 | Validation Loss = 0.0006885249188165 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:15.509493
