[001] Training Loss = 0.9745595678582285 | Validation Loss = 0.9172553043442853 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.565692
[002] Training Loss = 0.9059640184023788 | Validation Loss = 0.8678452788429847 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.444676
[003] Training Loss = 0.8090103935166796 | Validation Loss = 0.7339385510105865 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.451526
[004] Training Loss = 0.7053084024752178 | Validation Loss = 0.6583644052222829 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.452247
[005] Training Loss = 0.6419632880798340 | Validation Loss = 0.6108020793816737 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.451330
[006] Training Loss = 0.5982103275755356 | Validation Loss = 0.5647828607673149 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.445917
[007] Training Loss = 0.5255279157102458 | Validation Loss = 0.3966740969485382 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.477095
[008] Training Loss = 0.3843905846536749 | Validation Loss = 0.1837186809163488 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.453591
[009] Training Loss = 0.1929692550347175 | Validation Loss = 0.0268065123304812 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.437328
[010] Training Loss = 0.0833058739969577 | Validation Loss = 0.0105300766988005 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.456867
[011] Training Loss = 0.0619681935630277 | Validation Loss = 0.0080878585439453 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.429208
[012] Training Loss = 0.0355905617069295 | Validation Loss = 0.0077041562303358 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.458741
[013] Training Loss = 0.0247711963883009 | Validation Loss = 0.0064311077808538 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.431583
[014] Training Loss = 0.0197547305092720 | Validation Loss = 0.0055542741089805 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.448672
[015] Training Loss = 0.0187624770000421 | Validation Loss = 0.0041468578310447 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.445820
[016] Training Loss = 0.0162476488146281 | Validation Loss = 0.0051668129425538 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.456984
[017] Training Loss = 0.0133907521347610 | Validation Loss = 0.0045296367124742 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.452851
[018] Training Loss = 0.0115069620803989 | Validation Loss = 0.0046039005027249 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:01.440627
[019] Training Loss = 0.0106541151643138 | Validation Loss = 0.0043302913925489 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.457860
[020] Training Loss = 0.0088845062730524 | Validation Loss = 0.0053642125654223 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.440853
[021] Training Loss = 0.0075724025254356 | Validation Loss = 0.0033386617089818 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.449746
[022] Training Loss = 0.0072665693784258 | Validation Loss = 0.0043537094675312 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.456213
[023] Training Loss = 0.0065343282348260 | Validation Loss = 0.0037356859133823 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.453069
[024] Training Loss = 0.0064987627980263 | Validation Loss = 0.0033088904802216 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.440846
[025] Training Loss = 0.0059138869379550 | Validation Loss = 0.0024661461775064 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.449615
[026] Training Loss = 0.0059349966172093 | Validation Loss = 0.0018432057540244 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.457557
[027] Training Loss = 0.0057446284264613 | Validation Loss = 0.0027906905294752 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.439808
[028] Training Loss = 0.0054415029806764 | Validation Loss = 0.0038671172718369 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.443917
[029] Training Loss = 0.0053647706915892 | Validation Loss = 0.0018885468396959 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:01.456090
[030] Training Loss = 0.0052920603038454 | Validation Loss = 0.0019332412706001 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:01.447791
[031] Training Loss = 0.0045937456544020 | Validation Loss = 0.0029597747567230 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:01.446001
[032] Training Loss = 0.0040618639189970 | Validation Loss = 0.0024669996318567 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:01.448197
[033] Training Loss = 0.0043721380434207 | Validation Loss = 0.0026391914900597 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:01.446278
[034] Training Loss = 0.0039087547153685 | Validation Loss = 0.0027582806855578 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:01.454400
[035] Training Loss = 0.0036367917753536 | Validation Loss = 0.0025129996403912 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:01.445671
[036] Training Loss = 0.0030846470079288 | Validation Loss = 0.0033773758062767 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:01.455428
[037] Training Loss = 0.0030284027689276 | Validation Loss = 0.0023612201737089 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:01.447416
[038] Training Loss = 0.0031553492434346 | Validation Loss = 0.0017908176219063 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:01.447077
[039] Training Loss = 0.0031667298253805 | Validation Loss = 0.0016692085939353 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:01.451977
[040] Training Loss = 0.0029504169152842 | Validation Loss = 0.0022790121512949 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:01.443888
[041] Training Loss = 0.0024557678122499 | Validation Loss = 0.0018874255892490 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:01.451966
[042] Training Loss = 0.0024107556699387 | Validation Loss = 0.0023999159644061 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:01.451563
[043] Training Loss = 0.0026593321590775 | Validation Loss = 0.0029436204645458 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:01.488192
[044] Training Loss = 0.0025999154601547 | Validation Loss = 0.0021497216042145 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:01.443690
[045] Training Loss = 0.0023613054282691 | Validation Loss = 0.0009162924062735 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:01.456324
[046] Training Loss = 0.0023188010727448 | Validation Loss = 0.0018703352910491 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:01.451028
[047] Training Loss = 0.0022798766958722 | Validation Loss = 0.0012687808337651 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:01.431048
[048] Training Loss = 0.0020355126590150 | Validation Loss = 0.0012651629302848 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:01.436611
[049] Training Loss = 0.0019815659250997 | Validation Loss = 0.0014504679496682 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:01.448762
[050] Training Loss = 0.0019027319363596 | Validation Loss = 0.0014408934844028 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:01.455643
[051] Training Loss = 0.0017654947467047 | Validation Loss = 0.0011233065950288 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:01.447097
[052] Training Loss = 0.0018648431248862 | Validation Loss = 0.0008120769105796 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:01.448214
[053] Training Loss = 0.0016785803001483 | Validation Loss = 0.0022284617780110 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:01.451390
