[001] Training Loss = 1.0101569887638353 | Validation Loss = 0.9438323916206792 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.550852
[002] Training Loss = 0.9454899276228325 | Validation Loss = 0.9421379884372982 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.364845
[003] Training Loss = 0.9427264302830718 | Validation Loss = 0.9416049182966549 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.296526
[004] Training Loss = 0.9426085236177998 | Validation Loss = 0.9428019913575673 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.274446
[005] Training Loss = 0.9419051845198785 | Validation Loss = 0.9408850521740653 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.347078
[006] Training Loss = 0.9412068314710306 | Validation Loss = 0.9415585857658474 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.401743
[007] Training Loss = 0.9409507562551424 | Validation Loss = 0.9403340654069197 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.348114
[008] Training Loss = 0.9407738353956090 | Validation Loss = 0.9403305794602195 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.358335
[009] Training Loss = 0.9401879065738186 | Validation Loss = 0.9390417529671413 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.343281
[010] Training Loss = 0.9386122189541888 | Validation Loss = 0.9372098025109159 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.389178
[011] Training Loss = 0.9362820866005045 | Validation Loss = 0.9346789896674195 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.359093
[012] Training Loss = 0.9324467541730187 | Validation Loss = 0.9301618243094706 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.344854
[013] Training Loss = 0.9280471570724406 | Validation Loss = 0.9246548158394690 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.397942
[014] Training Loss = 0.9225595480656050 | Validation Loss = 0.9087824562201942 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.340879
[015] Training Loss = 0.8696643689356652 | Validation Loss = 0.7488755494633880 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.357428
[016] Training Loss = 0.6628190416630881 | Validation Loss = 0.4872417564602505 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.401858
[017] Training Loss = 0.4320765466228096 | Validation Loss = 0.2026083617866653 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.330922
[018] Training Loss = 0.2350368880017704 | Validation Loss = 0.1025290978240201 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.339390
[019] Training Loss = 0.1418761592038923 | Validation Loss = 0.0313246662222258 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.343435
[020] Training Loss = 0.1010686498931050 | Validation Loss = 0.0219657868435524 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.352111
[021] Training Loss = 0.0792683387761624 | Validation Loss = 0.0168024040803572 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.326712
[022] Training Loss = 0.0569825986822356 | Validation Loss = 0.0067242938223066 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.382973
[023] Training Loss = 0.0485478367703866 | Validation Loss = 0.0069013397638103 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.331580
[024] Training Loss = 0.0474891400241252 | Validation Loss = 0.0063987032785153 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.335218
[025] Training Loss = 0.0324363378154845 | Validation Loss = 0.0036374782061359 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.382707
[026] Training Loss = 0.0328974564490124 | Validation Loss = 0.0050163142475335 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.268838
[027] Training Loss = 0.0309752185587222 | Validation Loss = 0.0089128483829369 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.174071
[028] Training Loss = 0.0243596275286852 | Validation Loss = 0.0035394760676165 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.213909
[029] Training Loss = 0.0216175944510676 | Validation Loss = 0.0036665293941202 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.155635
[030] Training Loss = 0.0255391247270466 | Validation Loss = 0.0049043640024137 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.153493
[031] Training Loss = 0.0186637227189421 | Validation Loss = 0.0054846854557685 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.155202
[032] Training Loss = 0.0175917502564214 | Validation Loss = 0.0014512399027891 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.208984
[033] Training Loss = 0.0160422695734477 | Validation Loss = 0.0012517306648504 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.147422
[034] Training Loss = 0.0169647335675928 | Validation Loss = 0.0085402492243043 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.183938
[035] Training Loss = 0.0155053994255505 | Validation Loss = 0.0012610246351238 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.210763
[036] Training Loss = 0.0124137391738843 | Validation Loss = 0.0018039265964894 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:12.152395
