[001] Training Loss = 1.0057419971092485 | Validation Loss = 0.8892685507532989 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.855671
[002] Training Loss = 0.8911968148672155 | Validation Loss = 0.8916361963134992 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.582581
[003] Training Loss = 0.8892294499328428 | Validation Loss = 0.8863211209494734 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.546534
[004] Training Loss = 0.9011270616700716 | Validation Loss = 0.8869613599230362 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.615732
[005] Training Loss = 0.8867050279436697 | Validation Loss = 0.8844588873024859 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.567181
[006] Training Loss = 0.8827832394594083 | Validation Loss = 0.8795167253599788 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.539756
[007] Training Loss = 0.8773625561145536 | Validation Loss = 0.8706732569883210 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.566094
[008] Training Loss = 0.8669751102929251 | Validation Loss = 0.8600872316579091 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.560531
[009] Training Loss = 0.8500299146623842 | Validation Loss = 0.8295592856545410 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.570947
[010] Training Loss = 0.7221064802734160 | Validation Loss = 0.5947187975416138 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.641362
[011] Training Loss = 0.5213618533791650 | Validation Loss = 0.3750321059108973 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.540788
[012] Training Loss = 0.3071494559159068 | Validation Loss = 0.1123148695081735 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.569830
[013] Training Loss = 0.1255626673024915 | Validation Loss = 0.0258956478782062 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.570929
[014] Training Loss = 0.0706702529496602 | Validation Loss = 0.0082364193744259 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.580201
[015] Training Loss = 0.0459312254703222 | Validation Loss = 0.0057921636837784 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.647634
[016] Training Loss = 0.0274047351780710 | Validation Loss = 0.0028319944752911 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.587238
[017] Training Loss = 0.0241314743733541 | Validation Loss = 0.0040347647751286 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.559540
[018] Training Loss = 0.0185913517824863 | Validation Loss = 0.0014857883324228 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.579798
[019] Training Loss = 0.0156652022668278 | Validation Loss = 0.0023491956722631 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.563829
[020] Training Loss = 0.0175412028787205 | Validation Loss = 0.0011984796671092 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.576124
[021] Training Loss = 0.0114173594802506 | Validation Loss = 0.0011338128909603 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.624418
[022] Training Loss = 0.0093362862841092 | Validation Loss = 0.0018181464629368 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.578013
[023] Training Loss = 0.0092340951048992 | Validation Loss = 0.0015338020428205 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.511781
[024] Training Loss = 0.0070660283586749 | Validation Loss = 0.0011063178430296 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.574372
[025] Training Loss = 0.0065837309211694 | Validation Loss = 0.0005515333414989 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.578128
[026] Training Loss = 0.0052337564844856 | Validation Loss = 0.0003541464381806 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.568448
[027] Training Loss = 0.0049338094214074 | Validation Loss = 0.0003740700765053 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.571807
[028] Training Loss = 0.0044062304275833 | Validation Loss = 0.0002964697917755 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.556752
[029] Training Loss = 0.0044353275517651 | Validation Loss = 0.0029822310354509 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.575948
[030] Training Loss = 0.0050702047331615 | Validation Loss = 0.0002701942226605 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.550457
[031] Training Loss = 0.0043043148781735 | Validation Loss = 0.0003622942356976 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.497603
[032] Training Loss = 0.0048794423557891 | Validation Loss = 0.0003553762478985 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.486111
[033] Training Loss = 0.0034447490925114 | Validation Loss = 0.0002031164886113 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.505988
[034] Training Loss = 0.0038271453483725 | Validation Loss = 0.0001697254263432 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.563142
[035] Training Loss = 0.0027400969527162 | Validation Loss = 0.0006026053094991 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.516239
[036] Training Loss = 0.0033383282338256 | Validation Loss = 0.0003052852259431 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.497215
[037] Training Loss = 0.0033385225166281 | Validation Loss = 0.0010028775710778 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.517602
[038] Training Loss = 0.0022468812048481 | Validation Loss = 0.0001411152022973 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.507098
[039] Training Loss = 0.0027292362196504 | Validation Loss = 0.0001400881457928 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.519529
[040] Training Loss = 0.0020345202203888 | Validation Loss = 0.0001688662798449 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.541391
[041] Training Loss = 0.0021044325926603 | Validation Loss = 0.0001044742961423 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.496046
[042] Training Loss = 0.0024152503324801 | Validation Loss = 0.0000854873016093 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.492875
[043] Training Loss = 0.0029278429380529 | Validation Loss = 0.0001302658368070 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.494543
[044] Training Loss = 0.0019764874154305 | Validation Loss = 0.0000785680860452 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.487039
[045] Training Loss = 0.0024295294752555 | Validation Loss = 0.0001238038180111 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.515438
[046] Training Loss = 0.0022944003793987 | Validation Loss = 0.0001342059903907 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.545582
[047] Training Loss = 0.0014449078986620 | Validation Loss = 0.0007229897493365 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.505039
[048] Training Loss = 0.0018502050694465 | Validation Loss = 0.0000672914917637 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.499060
[049] Training Loss = 0.0024179722931370 | Validation Loss = 0.0000579226651985 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.514364
[050] Training Loss = 0.0015058360474718 | Validation Loss = 0.0000517527947647 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:05.496393
