[001] Training Loss = 1.0329336315681659 | Validation Loss = 0.9418189841714543 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:24.876258
[002] Training Loss = 0.9580407921061930 | Validation Loss = 0.9431377027869796 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:24.460329
[003] Training Loss = 0.9428268546983106 | Validation Loss = 0.9444210582084351 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:24.526629
[004] Training Loss = 0.9422609135248486 | Validation Loss = 0.9419704376781819 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:24.466711
[005] Training Loss = 0.9422871048863962 | Validation Loss = 0.9424318451976006 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:24.411352
[006] Training Loss = 0.9418433701153366 | Validation Loss = 0.9421975214661229 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:24.507255
[007] Training Loss = 0.9417864079506212 | Validation Loss = 0.9413378963333321 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:24.428869
[008] Training Loss = 0.9417125928709751 | Validation Loss = 0.9416112168273941 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:24.407820
[009] Training Loss = 0.9416821951510084 | Validation Loss = 0.9415348834001712 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:24.491835
[010] Training Loss = 0.9416530335119438 | Validation Loss = 0.9417091639011155 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:24.411231
[011] Training Loss = 0.9416573320980267 | Validation Loss = 0.9414707702103218 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:24.418810
[012] Training Loss = 0.9415931554566959 | Validation Loss = 0.9421065074379561 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:24.469989
[013] Training Loss = 0.9416220194061565 | Validation Loss = 0.9417049385504161 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:24.405817
[014] Training Loss = 0.9415640825921532 | Validation Loss = 0.9414370386257771 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:24.472181
[015] Training Loss = 0.9415626604732336 | Validation Loss = 0.9414770674461327 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:24.452876
[016] Training Loss = 0.9415029585282201 | Validation Loss = 0.9414598707997067 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:24.027747
[017] Training Loss = 0.9415134894598232 | Validation Loss = 0.9414957144121369 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:23.956287
[018] Training Loss = 0.9415028957961431 | Validation Loss = 0.9415432279174580 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:24.006792
[019] Training Loss = 0.9415030603959047 | Validation Loss = 0.9414628543142674 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:24.011562
[020] Training Loss = 0.9414762507780846 | Validation Loss = 0.9414208572030558 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:24.123472
[021] Training Loss = 0.9414725069967926 | Validation Loss = 0.9414531578919452 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:24.061986
[022] Training Loss = 0.9414741374552708 | Validation Loss = 0.9413929489106030 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:24.141524
[023] Training Loss = 0.9414525161830843 | Validation Loss = 0.9416483553680192 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:24.102863
[024] Training Loss = 0.9414447546712469 | Validation Loss = 0.9415335470342741 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:24.127939
[025] Training Loss = 0.9414294808493090 | Validation Loss = 0.9414082808604286 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:24.066090
[026] Training Loss = 0.9414567267140499 | Validation Loss = 0.9414309887212513 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:24.145482
[027] Training Loss = 0.9414608031480068 | Validation Loss = 0.9414048104528666 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:24.080474
[028] Training Loss = 0.9414374708440324 | Validation Loss = 0.9413366350732705 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:24.153782
[029] Training Loss = 0.9414464081506706 | Validation Loss = 0.9414355468684968 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:24.027001
[030] Training Loss = 0.9414490273587659 | Validation Loss = 0.9413514542315309 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:23.838933
[031] Training Loss = 0.9414373505595912 | Validation Loss = 0.9414718566550772 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:23.845583
[032] Training Loss = 0.9414181119552830 | Validation Loss = 0.9414885974867786 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:23.843409
[033] Training Loss = 0.9414319354576427 | Validation Loss = 0.9414707274776912 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:23.878594
[034] Training Loss = 0.9414385620368578 | Validation Loss = 0.9414479781791663 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:23.835821
[035] Training Loss = 0.9414386541206407 | Validation Loss = 0.9414845676702367 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:23.833952
[036] Training Loss = 0.9414142916293466 | Validation Loss = 0.9413393388833411 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:23.806362
[037] Training Loss = 0.9414359313182897 | Validation Loss = 0.9414231155578274 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:23.898779
[038] Training Loss = 0.9414283718152509 | Validation Loss = 0.9414481024922730 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:23.848386
[039] Training Loss = 0.9414269209201490 | Validation Loss = 0.9414498066177772 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:23.901794
[040] Training Loss = 0.9414273715551608 | Validation Loss = 0.9414188889121998 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:23.829135
[041] Training Loss = 0.9414193792583428 | Validation Loss = 0.9415497957932616 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:23.850608
[042] Training Loss = 0.9414197878801288 | Validation Loss = 0.9414843604817255 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:00:23.809778
[043] Training Loss = 0.9414233532490915 | Validation Loss = 0.9415115125361125 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:23.883930
[044] Training Loss = 0.9414243678972726 | Validation Loss = 0.9414723849857806 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:23.826044
[045] Training Loss = 0.9414147687384460 | Validation Loss = 0.9414396492010177 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:23.859072
[046] Training Loss = 0.9413997671391909 | Validation Loss = 0.9415047892689256 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:00:23.852386
[047] Training Loss = 0.9414246999744141 | Validation Loss = 0.9414668737713837 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:23.835702
[048] Training Loss = 0.9414103487168747 | Validation Loss = 0.9413792744688666 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:23.854096
[049] Training Loss = 0.9414199939175927 | Validation Loss = 0.9414038470262899 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:23.824720
[050] Training Loss = 0.9414049318883552 | Validation Loss = 0.9415637551192008 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:00:23.851998
[051] Training Loss = 0.9413973637524616 | Validation Loss = 0.9414090267390687 | Learning Rate = 0.0000206158430208 | Elapsed Time = 0:00:23.826497
[052] Training Loss = 0.9413999023872469 | Validation Loss = 0.9414285438968198 | Learning Rate = 0.0000206158430208 | Elapsed Time = 0:00:23.884306
[053] Training Loss = 0.9414064340050611 | Validation Loss = 0.9414435443450274 | Learning Rate = 0.0000206158430208 | Elapsed Time = 0:00:23.818261
[054] Training Loss = 0.9414111101346531 | Validation Loss = 0.9414578610711485 | Learning Rate = 0.0000206158430208 | Elapsed Time = 0:00:23.873080
[055] Training Loss = 0.9414044973680054 | Validation Loss = 0.9414320246638072 | Learning Rate = 0.0000164926744166 | Elapsed Time = 0:00:23.867476
[056] Training Loss = 0.9414100039782131 | Validation Loss = 0.9414455747924368 | Learning Rate = 0.0000164926744166 | Elapsed Time = 0:00:23.710132
[057] Training Loss = 0.9414040835665067 | Validation Loss = 0.9414079493588107 | Learning Rate = 0.0000164926744166 | Elapsed Time = 0:00:23.746329
[058] Training Loss = 0.9414006004974247 | Validation Loss = 0.9414866913524759 | Learning Rate = 0.0000164926744166 | Elapsed Time = 0:00:23.814874
