[001] Training Loss = 0.9881215533445886 | Validation Loss = 0.9692326043615839 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.710415
[002] Training Loss = 0.9376798868384043 | Validation Loss = 0.9029991408377912 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.611381
[003] Training Loss = 0.8858145285936700 | Validation Loss = 0.8665141620878797 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.650536
[004] Training Loss = 0.8078914458445204 | Validation Loss = 0.6303204949657505 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.605506
[005] Training Loss = 0.4953542603898849 | Validation Loss = 0.1613220079373521 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.601044
[006] Training Loss = 0.2670030986519504 | Validation Loss = 0.0538234859527107 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.601539
[007] Training Loss = 0.1559408029579162 | Validation Loss = 0.0309042326196386 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.593949
[008] Training Loss = 0.0987353398303211 | Validation Loss = 0.0180953587799950 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.599280
[009] Training Loss = 0.0676518192556543 | Validation Loss = 0.0143754364975927 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.648526
[010] Training Loss = 0.0505940967702733 | Validation Loss = 0.0123722403665133 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.598368
[011] Training Loss = 0.0407908572688678 | Validation Loss = 0.0110282985559123 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.603638
[012] Training Loss = 0.0333827020582238 | Validation Loss = 0.0125263116392571 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.604117
[013] Training Loss = 0.0278946169004050 | Validation Loss = 0.0105841142730930 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.597295
[014] Training Loss = 0.0248606828019116 | Validation Loss = 0.0100450218334387 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.607155
[015] Training Loss = 0.0211499369856510 | Validation Loss = 0.0108449318626525 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.638365
[016] Training Loss = 0.0196478829562488 | Validation Loss = 0.0093975141990173 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.603117
