[001] Training Loss = 0.0002042704719764 | Validation Loss = 0.0001930358336522 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.908966
[002] Training Loss = 0.0001897420836310 | Validation Loss = 0.0001894078254700 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:14.248560
[003] Training Loss = 0.0001890026875031 | Validation Loss = 0.0001894241424707 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.468406
[004] Training Loss = 0.0001885975661441 | Validation Loss = 0.0001890490229313 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.494041
[005] Training Loss = 0.0001882270003995 | Validation Loss = 0.0001891728254465 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.469980
[006] Training Loss = 0.0001883073652911 | Validation Loss = 0.0001894480659412 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.479613
[007] Training Loss = 0.0001881619134520 | Validation Loss = 0.0001892715536631 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.485820
[008] Training Loss = 0.0001881597703339 | Validation Loss = 0.0001890582570663 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.496457
[009] Training Loss = 0.0001880246681026 | Validation Loss = 0.0001892509909777 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.496571
[010] Training Loss = 0.0001879672071873 | Validation Loss = 0.0001890346178642 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.501433
[011] Training Loss = 0.0001879440524639 | Validation Loss = 0.0001891208501963 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.480719
[012] Training Loss = 0.0001879407673819 | Validation Loss = 0.0001890443068284 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.476742
[013] Training Loss = 0.0001878852297098 | Validation Loss = 0.0001890299595319 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.497166
[014] Training Loss = 0.0001879239535739 | Validation Loss = 0.0001890502507870 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.475627
[015] Training Loss = 0.0001879158567160 | Validation Loss = 0.0001890332607123 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.472078
[016] Training Loss = 0.0001878898538076 | Validation Loss = 0.0001891316909056 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.479425
[017] Training Loss = 0.0001881387609702 | Validation Loss = 0.0001890580140627 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.481766
[018] Training Loss = 0.0001879006941094 | Validation Loss = 0.0001891619718992 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.483067
[019] Training Loss = 0.0001878908027951 | Validation Loss = 0.0001890534556829 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.468066
[020] Training Loss = 0.0001878877822151 | Validation Loss = 0.0001890483929561 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:13.467403
[021] Training Loss = 0.0001878857296756 | Validation Loss = 0.0001890577848141 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.449349
[022] Training Loss = 0.0001878859715584 | Validation Loss = 0.0001890538940063 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.446462
[023] Training Loss = 0.0001878850217558 | Validation Loss = 0.0001890492503460 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.451630
[024] Training Loss = 0.0001878852860540 | Validation Loss = 0.0001890550329135 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:13.444130
[025] Training Loss = 0.0001878823336373 | Validation Loss = 0.0001890571850997 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:13.443124
[026] Training Loss = 0.0001878840494360 | Validation Loss = 0.0001890524946726 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:13.456378
[027] Training Loss = 0.0001878832026425 | Validation Loss = 0.0001890571190761 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:13.450331
[028] Training Loss = 0.0001878887293685 | Validation Loss = 0.0001890569824439 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:00:13.451058
[029] Training Loss = 0.0001878867345997 | Validation Loss = 0.0001890476089257 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.452893
[030] Training Loss = 0.0001878877554184 | Validation Loss = 0.0001890540948281 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.448780
[031] Training Loss = 0.0001878853816252 | Validation Loss = 0.0001890560296866 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.448335
[032] Training Loss = 0.0001878860786430 | Validation Loss = 0.0001890539169312 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:00:13.447869
[033] Training Loss = 0.0001878883525857 | Validation Loss = 0.0001890574455261 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.449133
[034] Training Loss = 0.0001878844110375 | Validation Loss = 0.0001890522525861 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.441329
[035] Training Loss = 0.0001878825876448 | Validation Loss = 0.0001890608622478 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.446391
[036] Training Loss = 0.0001878881140652 | Validation Loss = 0.0001890580140627 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:00:13.449983
[037] Training Loss = 0.0001878854986949 | Validation Loss = 0.0001890499683527 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.442107
[038] Training Loss = 0.0001878845532735 | Validation Loss = 0.0001890494905985 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.448693
[039] Training Loss = 0.0001878827091975 | Validation Loss = 0.0001890565569584 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:00:13.449546
