[001] Training Loss = 0.0002291879271850 | Validation Loss = 0.0001901383684232 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.825736
[002] Training Loss = 0.0001906418261365 | Validation Loss = 0.0001898213624954 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.486349
[003] Training Loss = 0.0001889864572093 | Validation Loss = 0.0001898713827133 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.545780
[004] Training Loss = 0.0001880360812203 | Validation Loss = 0.0001890592575073 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.585850
[005] Training Loss = 0.0001879243762065 | Validation Loss = 0.0001890466598364 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.588646
[006] Training Loss = 0.0001878966785904 | Validation Loss = 0.0001890618122541 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.623274
[007] Training Loss = 0.0001880289236705 | Validation Loss = 0.0001890507349601 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:13.645625
[008] Training Loss = 0.0001879066012863 | Validation Loss = 0.0001890427754476 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.658316
[009] Training Loss = 0.0001878942277696 | Validation Loss = 0.0001890498399734 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.663095
[010] Training Loss = 0.0001878981706424 | Validation Loss = 0.0001890537977219 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.680008
[011] Training Loss = 0.0001878957923661 | Validation Loss = 0.0001890539921247 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:13.681990
[012] Training Loss = 0.0001878982536813 | Validation Loss = 0.0001890464287538 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.682101
[013] Training Loss = 0.0001878877904680 | Validation Loss = 0.0001890523800483 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.683812
[014] Training Loss = 0.0001878901503025 | Validation Loss = 0.0001890430184511 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:13.696032
