[001] Training Loss = 1.0140149193577854 | Validation Loss = 0.9976962905729537 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:02:57.002414
[002] Training Loss = 0.9978520618646283 | Validation Loss = 0.9968326288517007 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:02:58.869257
[003] Training Loss = 0.9968415022035542 | Validation Loss = 0.9965544274457617 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:02:59.126993
[004] Training Loss = 0.9965444182476143 | Validation Loss = 0.9964192021958317 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:02:59.200214
[005] Training Loss = 0.9963319482164572 | Validation Loss = 0.9961800403858802 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:02:58.973665
[006] Training Loss = 0.9963813426069407 | Validation Loss = 0.9962255576863287 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:02:58.785998
[007] Training Loss = 0.9962437549063595 | Validation Loss = 0.9962798681639328 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:02:58.752645
[008] Training Loss = 0.9962893703503848 | Validation Loss = 0.9962560761509318 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:02:58.814732
[009] Training Loss = 0.9962639105818385 | Validation Loss = 0.9962466388351757 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:02:58.932105
[010] Training Loss = 0.9962375522171023 | Validation Loss = 0.9961296194090189 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:02:58.881300
[011] Training Loss = 0.9962393790276757 | Validation Loss = 0.9961941566147919 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:02:58.595037
[012] Training Loss = 0.9962344392612281 | Validation Loss = 0.9964409000731261 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:02:58.758046
[013] Training Loss = 0.9962601875216371 | Validation Loss = 0.9962527787094986 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:02:58.658358
[014] Training Loss = 0.9962389527236535 | Validation Loss = 0.9961547956347578 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:02:58.758758
[015] Training Loss = 0.9962478291210796 | Validation Loss = 0.9962649323714393 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:02:58.746565
[016] Training Loss = 0.9962367008272874 | Validation Loss = 0.9961511583074247 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:02:58.875408
[017] Training Loss = 0.9962532653158577 | Validation Loss = 0.9964087781145594 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:02:58.891411
[018] Training Loss = 0.9962423738153335 | Validation Loss = 0.9962380896083841 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:02:59.028656
[019] Training Loss = 0.9962432021349362 | Validation Loss = 0.9963169979574942 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:02:59.103462
[020] Training Loss = 0.9962318312612879 | Validation Loss = 0.9961933726844097 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:02:59.006451
[021] Training Loss = 0.9962420626339552 | Validation Loss = 0.9963829001888977 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:02:59.055190
[022] Training Loss = 0.9962360483133620 | Validation Loss = 0.9963231296087710 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:02:59.060001
[023] Training Loss = 0.9962346487204825 | Validation Loss = 0.9962794021913279 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:02:59.245100
[024] Training Loss = 0.9962418377945594 | Validation Loss = 0.9963975509157977 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:02:59.090973
[025] Training Loss = 0.9962418897977111 | Validation Loss = 0.9963631731016203 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:02:59.164287
[026] Training Loss = 0.9962337437285901 | Validation Loss = 0.9960665431644130 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:02:59.269911
[027] Training Loss = 0.9962387632890390 | Validation Loss = 0.9961058191729719 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:02:59.101428
[028] Training Loss = 0.9962368689428938 | Validation Loss = 0.9962066309755256 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:02:59.136612
[029] Training Loss = 0.9962382299331408 | Validation Loss = 0.9962757758280560 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:02:59.174802
[030] Training Loss = 0.9962378005835462 | Validation Loss = 0.9962758772456229 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:02:59.041219
[031] Training Loss = 0.9962357490858559 | Validation Loss = 0.9960991722108145 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:02:59.118608
[032] Training Loss = 0.9962350696947524 | Validation Loss = 0.9960664143366929 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:02:59.102457
[033] Training Loss = 0.9962325586201596 | Validation Loss = 0.9962781742164634 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:02:59.285857
[034] Training Loss = 0.9962308668045909 | Validation Loss = 0.9962649871917458 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:02:59.119189
