[001] Training Loss = 1.0076735715768168 | Validation Loss = 0.9990169671875233 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:07:19.715778
[002] Training Loss = 0.9991956369327062 | Validation Loss = 0.9983455972970675 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:07:13.958268
[003] Training Loss = 0.9987722607865688 | Validation Loss = 0.9983392565562127 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:07:15.679653
[004] Training Loss = 0.9998765725326221 | Validation Loss = 0.9983687847154893 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:07:08.010296
[005] Training Loss = 0.9987575480676476 | Validation Loss = 0.9983498273756430 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:06:59.489323
[006] Training Loss = 0.9986937513818647 | Validation Loss = 0.9983516034971357 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:06:59.283498
[007] Training Loss = 0.9986052029595253 | Validation Loss = 0.9983536485901071 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:06:57.699891
[008] Training Loss = 0.9987433521027661 | Validation Loss = 0.9983475608575231 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:06:57.151859
[009] Training Loss = 0.9985107002032414 | Validation Loss = 0.9983806929256526 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:06:56.365516
[010] Training Loss = 0.9987300748233883 | Validation Loss = 0.9983372522294991 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:06:56.452618
[011] Training Loss = 0.9986170201584217 | Validation Loss = 0.9983848797490829 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:06:56.232302
[012] Training Loss = 0.9986344869789804 | Validation Loss = 0.9983755665043434 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:06:56.320183
[013] Training Loss = 0.9986744039351534 | Validation Loss = 0.9990200410491989 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:06:56.297993
[014] Training Loss = 0.9987085673276261 | Validation Loss = 0.9983663315308194 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:06:56.242700
[015] Training Loss = 0.9986396641793126 | Validation Loss = 0.9998143359691480 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:06:56.136015
[016] Training Loss = 0.9986468952361697 | Validation Loss = 0.9983375215442730 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:06:56.197495
[017] Training Loss = 0.9986607732242389 | Validation Loss = 0.9983273827613536 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:06:56.223361
[018] Training Loss = nan | Validation Loss = 0.9983596757311584 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:06:56.491307
[019] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:06:10.633587
[020] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:05:37.738379
[021] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:05:37.722555
[022] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:05:37.730562
[023] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:05:37.737757
[024] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:05:37.775365
[025] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:05:37.775369
[026] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:05:37.776482
[027] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:05:37.780777
[028] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:05:37.776163
[029] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:05:37.795678
[030] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:05:37.837673
[031] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:05:37.801074
[032] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:05:37.810993
[033] Training Loss = nan | Validation Loss = nan | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:05:37.833032
