[001] Training Loss = 0.0003480105265311 | Validation Loss = 0.0003361559688813 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:01:11.803469
[002] Training Loss = 0.0003359852103356 | Validation Loss = 0.0003359281253722 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:01:12.073623
[003] Training Loss = 0.0003359673981073 | Validation Loss = 0.0003359270374135 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:01:12.190991
[004] Training Loss = 0.0003361089631329 | Validation Loss = 0.0003359237484895 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:01:12.009270
[005] Training Loss = 0.0003359612635962 | Validation Loss = 0.0003359215612078 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:01:11.915905
[006] Training Loss = 0.0003359527655664 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:01:11.875495
[007] Training Loss = 0.0003359476534309 | Validation Loss = 0.0003359221672270 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:01:11.976165
[008] Training Loss = 0.0003359442599604 | Validation Loss = 0.0003359226609946 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:01:12.000376
[009] Training Loss = 0.0003361133514830 | Validation Loss = 0.0003361657888045 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:01:11.972888
[010] Training Loss = 0.0003359372461455 | Validation Loss = 0.0003359281253722 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:01:11.979351
[011] Training Loss = 0.0003359327239749 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:01:11.980817
[012] Training Loss = 0.0003359331291731 | Validation Loss = 0.0003359201854305 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:01:11.973646
[013] Training Loss = 0.0003359312889538 | Validation Loss = 0.0003359281253722 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:01:11.919845
[014] Training Loss = 0.0003359293800332 | Validation Loss = 0.0003359259366989 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:01:11.962759
[015] Training Loss = 0.0003359327985258 | Validation Loss = 0.0003359237484895 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:01:11.978372
[016] Training Loss = 0.0003359224252303 | Validation Loss = 0.0003359221398598 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:01:11.961051
[017] Training Loss = 0.0003359305602722 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:01:11.934443
[018] Training Loss = 0.0003359305766100 | Validation Loss = 0.0003359270374135 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:01:11.912341
[019] Training Loss = 0.0003359203249976 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:01:11.953073
[020] Training Loss = 0.0003359275310523 | Validation Loss = 0.0003359281253722 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:01:11.924009
[021] Training Loss = 0.0003359272799294 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:01:11.926284
[022] Training Loss = 0.0003359267173574 | Validation Loss = 0.0003359259366989 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:01:11.958575
[023] Training Loss = 0.0003359255347734 | Validation Loss = 0.0003359226609946 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:01:11.951012
[024] Training Loss = 0.0003359231809955 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:01:11.924864
[025] Training Loss = 0.0003359264084080 | Validation Loss = 0.0003359248756435 | Learning Rate = 0.0000983040000000 | Elapsed Time = 0:01:11.945847
[026] Training Loss = 0.0003359251892830 | Validation Loss = 0.0003359237484895 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:01:11.955770
[027] Training Loss = 0.0003359319375698 | Validation Loss = 0.0003359237484895 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:01:11.955217
[028] Training Loss = 0.0003359272259167 | Validation Loss = 0.0003359259366989 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:01:11.956774
[029] Training Loss = 0.0003359281523785 | Validation Loss = 0.0003359259366989 | Learning Rate = 0.0000786432000000 | Elapsed Time = 0:01:11.954032
[030] Training Loss = 0.0003359200189086 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:01:11.942108
[031] Training Loss = 0.0003359273189443 | Validation Loss = 0.0003359237484895 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:01:11.963446
[032] Training Loss = 0.0003359277942610 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:01:11.963117
[033] Training Loss = 0.0003359225167890 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000629145600000 | Elapsed Time = 0:01:11.978237
[034] Training Loss = 0.0003359236083812 | Validation Loss = 0.0003359259366989 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:01:11.961058
[035] Training Loss = 0.0003359257200555 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:01:11.950439
[036] Training Loss = 0.0003359258193450 | Validation Loss = 0.0003359237484895 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:01:11.931395
[037] Training Loss = 0.0003359222931363 | Validation Loss = 0.0003359262799475 | Learning Rate = 0.0000503316480000 | Elapsed Time = 0:01:11.958819
[038] Training Loss = 0.0003359251805471 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:01:11.937756
[039] Training Loss = 0.0003359260074617 | Validation Loss = 0.0003359281724529 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:01:11.950000
[040] Training Loss = 0.0003359273167281 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:01:11.986442
[041] Training Loss = 0.0003359238422128 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000402653184000 | Elapsed Time = 0:01:11.922094
[042] Training Loss = 0.0003359237421760 | Validation Loss = 0.0003359228490855 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:01:11.936077
[043] Training Loss = 0.0003359251546489 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:01:11.914394
[044] Training Loss = 0.0003359228167192 | Validation Loss = 0.0003359252743220 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:01:11.936290
[045] Training Loss = 0.0003359250428354 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000322122547200 | Elapsed Time = 0:01:11.900257
[046] Training Loss = 0.0003359238713065 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:01:11.785392
[047] Training Loss = 0.0003359201983152 | Validation Loss = 0.0003359237484895 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:01:11.751333
[048] Training Loss = 0.0003359261133482 | Validation Loss = 0.0003359249208688 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:01:11.733083
[049] Training Loss = 0.0003359208674179 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000257698037760 | Elapsed Time = 0:01:11.753790
[050] Training Loss = 0.0003359208111633 | Validation Loss = 0.0003359237484895 | Learning Rate = 0.0000206158430208 | Elapsed Time = 0:01:11.755108
[051] Training Loss = 0.0003359256263579 | Validation Loss = 0.0003359265160468 | Learning Rate = 0.0000206158430208 | Elapsed Time = 0:01:11.758621
[052] Training Loss = 0.0003359229346142 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000206158430208 | Elapsed Time = 0:01:11.740744
[053] Training Loss = 0.0003359219475427 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000206158430208 | Elapsed Time = 0:01:11.742768
[054] Training Loss = 0.0003359209405000 | Validation Loss = 0.0003359280397920 | Learning Rate = 0.0000164926744166 | Elapsed Time = 0:01:11.728525
[055] Training Loss = 0.0003359193618402 | Validation Loss = 0.0003359268428287 | Learning Rate = 0.0000164926744166 | Elapsed Time = 0:01:11.742243
[056] Training Loss = 0.0003359198759141 | Validation Loss = 0.0003359255839415 | Learning Rate = 0.0000164926744166 | Elapsed Time = 0:01:11.737924
[057] Training Loss = 0.0003359211707754 | Validation Loss = 0.0003359255990166 | Learning Rate = 0.0000164926744166 | Elapsed Time = 0:01:11.741909
[058] Training Loss = 0.0003359233345297 | Validation Loss = 0.0003359259703280 | Learning Rate = 0.0000131941395333 | Elapsed Time = 0:01:11.679437
[059] Training Loss = 0.0003359214533112 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000131941395333 | Elapsed Time = 0:01:11.657347
[060] Training Loss = 0.0003359218936847 | Validation Loss = 0.0003359248492041 | Learning Rate = 0.0000131941395333 | Elapsed Time = 0:01:11.633977
[061] Training Loss = 0.0003359198166445 | Validation Loss = 0.0003359241926253 | Learning Rate = 0.0000131941395333 | Elapsed Time = 0:01:11.690450
[062] Training Loss = 0.0003359195854156 | Validation Loss = 0.0003359243269097 | Learning Rate = 0.0000105553116266 | Elapsed Time = 0:01:11.706490
[063] Training Loss = 0.0003359207248100 | Validation Loss = 0.0003359253784562 | Learning Rate = 0.0000105553116266 | Elapsed Time = 0:01:11.687496
[064] Training Loss = 0.0003359197739446 | Validation Loss = 0.0003359265148872 | Learning Rate = 0.0000105553116266 | Elapsed Time = 0:01:11.668056
[065] Training Loss = 0.0003359200761424 | Validation Loss = 0.0003359214157910 | Learning Rate = 0.0000105553116266 | Elapsed Time = 0:01:11.651373
[066] Training Loss = 0.0003359182296612 | Validation Loss = 0.0003359245933911 | Learning Rate = 0.0000084442493013 | Elapsed Time = 0:01:11.661373
[067] Training Loss = 0.0003359179226186 | Validation Loss = 0.0003359272542631 | Learning Rate = 0.0000084442493013 | Elapsed Time = 0:01:11.656051
[068] Training Loss = 0.0003359211525822 | Validation Loss = 0.0003359228497813 | Learning Rate = 0.0000084442493013 | Elapsed Time = 0:01:11.671437
[069] Training Loss = 0.0003359165659881 | Validation Loss = 0.0003359259689364 | Learning Rate = 0.0000084442493013 | Elapsed Time = 0:01:11.657802
[070] Training Loss = 0.0003359166427551 | Validation Loss = 0.0003359255695621 | Learning Rate = 0.0000067553994411 | Elapsed Time = 0:01:11.676230
[071] Training Loss = 0.0003359185744559 | Validation Loss = 0.0003359283494114 | Learning Rate = 0.0000067553994411 | Elapsed Time = 0:01:11.649582
