[001] Training Loss = 1.4138294397104205 | Validation Loss = 0.9734917903575143 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.732431
[002] Training Loss = 0.9796810031015292 | Validation Loss = 0.9747519124519817 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.114135
[003] Training Loss = 0.9785589164460357 | Validation Loss = 0.9756057162154529 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.093026
[004] Training Loss = 0.9779997468837467 | Validation Loss = 0.9738204547484507 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:07.116876
[005] Training Loss = 0.9737100828474210 | Validation Loss = 0.9742151684823291 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:07.135134
[006] Training Loss = 0.9731539664554935 | Validation Loss = 0.9722886159088706 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:07.145965
[007] Training Loss = 0.9722254931385288 | Validation Loss = 0.9715779203892753 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:07.134297
[008] Training Loss = 0.9728685350517496 | Validation Loss = 0.9721726820078426 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:07.131819
[009] Training Loss = 0.9716003231528074 | Validation Loss = 0.9705299257405804 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:07.147654
[010] Training Loss = 0.9720883495170388 | Validation Loss = 0.9695194585818517 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:07.136470
[011] Training Loss = 0.9709699807442732 | Validation Loss = 0.9704914163026400 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:07.160469
[012] Training Loss = 0.9708049482586134 | Validation Loss = 0.9700167938840331 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:07.163060
[013] Training Loss = 0.9711000200670449 | Validation Loss = 0.9699028452256485 | Learning Rate = 0.0002400000000000 | Elapsed Time = 0:00:07.187304
[014] Training Loss = 0.9709884373340326 | Validation Loss = 0.9708990741387530 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:07.183761
[015] Training Loss = 0.9723712394781396 | Validation Loss = 0.9694717086932747 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:07.205127
[016] Training Loss = 0.9700066085456569 | Validation Loss = 0.9707269770829462 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:07.149040
[017] Training Loss = 0.9697635005227093 | Validation Loss = 0.9703451487478907 | Learning Rate = 0.0001920000000000 | Elapsed Time = 0:00:07.179514
[018] Training Loss = 0.9699919060094144 | Validation Loss = 0.9708307887295003 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:07.182038
[019] Training Loss = 0.9697585457175938 | Validation Loss = 0.9698811569834382 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:07.168370
[020] Training Loss = 0.9696129090762772 | Validation Loss = 0.9707246769765503 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:07.163175
[021] Training Loss = 0.9696657041969421 | Validation Loss = 0.9696184859003693 | Learning Rate = 0.0001536000000000 | Elapsed Time = 0:00:07.186561
[022] Training Loss = 0.9692436492009191 | Validation Loss = 0.9694600720761143 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:07.177934
[023] Training Loss = 0.9690240219496057 | Validation Loss = 0.9689683296080461 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:07.141015
[024] Training Loss = 0.9686877213714649 | Validation Loss = 0.9694496308738790 | Learning Rate = 0.0001228800000000 | Elapsed Time = 0:00:07.125291
