[001] Training Loss = 1.0384472348721234 | Validation Loss = 0.9974002174336999 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.974869
[002] Training Loss = 0.9959194191764106 | Validation Loss = 0.9955797154276061 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.819291
[003] Training Loss = 0.9945776214962362 | Validation Loss = 0.9950097626402103 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.943701
[004] Training Loss = 0.9938709474016509 | Validation Loss = 0.9945529354223513 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:29.036613
[005] Training Loss = 0.9933301815863981 | Validation Loss = 0.9934979286325369 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:29.057647
[006] Training Loss = 0.9929587958946179 | Validation Loss = 0.9932662167109988 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:29.134951
[007] Training Loss = 0.9926374773868644 | Validation Loss = 0.9923769610513328 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:29.021787
[008] Training Loss = 0.9924440928771845 | Validation Loss = 0.9918535778167951 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:29.046509
[009] Training Loss = 0.9917086650325319 | Validation Loss = 0.9913821484666258 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:29.128653
[010] Training Loss = 0.9890904840819497 | Validation Loss = 0.9839470119107689 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:29.019659
[011] Training Loss = 0.9779259492213969 | Validation Loss = 0.9628723779685922 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.974248
[012] Training Loss = 0.9444838510433213 | Validation Loss = 0.9002898300253781 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.979290
[013] Training Loss = 0.9006116295370536 | Validation Loss = 0.8275389269738836 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.961603
[014] Training Loss = 0.8554546454930632 | Validation Loss = 0.7660701752393022 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.971750
[015] Training Loss = 0.8063216349438479 | Validation Loss = 0.7046249321732310 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:29.004174
[016] Training Loss = 0.7548237541254319 | Validation Loss = 0.6096846146648879 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.976598
[017] Training Loss = 0.6646911663820778 | Validation Loss = 0.4723624770727515 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.924329
[018] Training Loss = 0.5445409859878675 | Validation Loss = 0.3722560340956153 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.971354
[019] Training Loss = 0.4528379405376007 | Validation Loss = 0.3228504102125137 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.925402
[020] Training Loss = 0.3959935882689763 | Validation Loss = 0.2936223304368794 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.984738
[021] Training Loss = 0.3643678136124347 | Validation Loss = 0.2713711480456769 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.934773
[022] Training Loss = 0.3417613347769315 | Validation Loss = 0.2501607812358589 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.950054
[023] Training Loss = 0.3237756809460411 | Validation Loss = 0.2290758322169054 | Learning Rate = 0.0003000000000000 | Elapsed Time = 0:00:28.989840
